States,States.ICESI,2005 I,2005 II,2005 III,2005 IV,2006 I,2006 II,2006 III,2006 IV,2007 I,2007 II,2007 III,2007 IV,2008 I,2008 II,2008 III,2008 IV,2009 I,2009 II,2009 III
Total,Total,3.88,3.51,3.79,3.13,3.53,3.16,4.02,3.6,3.96,3.39,3.92,3.54,3.95,3.5,4.19,4.26,5.06,5.17,6.24
Aguascalientes,Aguascalientes,4.65,5.27,5.42,4.27,4.96,4.33,4.77,4.02,5.6,3.72,5.21,5.11,5.65,4.88,6.13,5.72,7.49,7.17,8.18
Baja California,Baja California Norte,1.71,1.25,1.26,1.55,1.59,1.27,2.18,2.07,2.6,1.66,1.73,2.07,2.56,2.8,3.75,4.36,6.14,5.84,7.56
Baja California Sur,Baja California Sur,2.63,2.42,2.63,1.76,2.37,2.09,2.13,1.55,1.95,2,2.32,2.25,2.67,2.79,3.16,4.4,5.5,5.09,6.47
Campeche,Campeche,2.48,2.75,2.72,1.83,2.13,2.08,2.99,1.83,2.7,1.42,2.25,2.14,1.83,2.2,2.11,2.35,2.28,2.98,2.74
Coahuila de Zaragoza,Coahuila De Zaragoza,5.05,4.63,4.29,4.09,5.89,5.03,5.57,5,6.47,4.88,5.51,4.29,5.61,4.88,6.11,5.69,8.56,7.78,9.72
Colima,Colima,3.12,2.61,3.31,3.17,3.69,2.79,3.92,3.1,2.91,3.09,2.88,3.01,3.28,2.28,2.98,3.45,4.35,4.29,5.02
Chiapas,Chiapas,2.12,2.07,2.4,1.69,1.8,1.49,1.94,2.15,2.07,2.11,2.19,2.11,2.93,1.83,2.27,2.92,2.48,1.86,2.7
Chihuahua,Chihuahua,3.39,2.06,2.41,2.24,2.92,2.71,2.98,2.85,4.04,2.62,2.92,3.74,3.69,4.16,4.84,6.95,8.35,7.21,9.72
Distrito Federal,Distrito Federal,5.68,5.38,6.37,4.87,5.46,4.98,6.19,5.49,5.7,5.92,6.46,5.83,5.31,5.51,6.39,5.82,5.62,6.9,8.67
Durango,Durango,4.1,3.36,3.32,2.96,4.04,3.39,4.54,3.14,4.87,2.91,3.55,2.86,4.13,3.97,3.64,5.61,6.5,5.54,6.65
Guanajuato,Guanajuato,4.68,4.14,3.94,2.74,3.39,2.67,4.37,3.4,3.93,2.83,3.78,3.23,4.5,3.92,4.86,5.5,5.83,5.03,7.5
Guerrero,Guerrero,1.45,1.14,1.02,0.73,1.11,1.02,2.04,1.24,1.07,1.25,1.35,1.32,1.28,1.15,1.24,1.51,1.64,1.57,1.93
Hidalgo,Hidalgo,3.26,3.39,2.41,3.41,3.49,3.37,3.83,3.14,4.61,3.7,3.36,3.2,3.74,2.9,3.4,4.71,4.92,4.94,7.05
Jalisco,Jalisco,3.8,2.95,4.28,3.35,3.91,2.8,3.89,3.63,3.49,2.94,3.48,3.25,3.57,3.1,3.73,4.1,5.44,4.51,5.79
México,Mexico,5.5,5.46,5,4.19,4.17,4.39,5.2,5.12,5.9,4.86,5.76,5.02,5.69,4.34,5,5.13,6.49,7.1,7.57
Michoacán de Ocampo,Michoacan de Ocampo,2.25,2.64,3.29,2.74,2.95,2.54,3.06,2.52,2.83,1.71,2.66,2.31,2.87,2.78,3.03,2.95,3.22,4.1,3.43
Morelos,Morelos,2.73,2.76,2.53,2.43,2.48,2.59,3.23,2.98,3.43,2.95,3.19,3.5,3.1,2.29,3.08,3.63,3.54,3.17,5.12
Nayarit,Nayarit,2.39,2.33,2.68,1.98,2.79,2.45,3.37,2.72,2.99,2.7,3.78,2.93,3.12,2.47,3.55,3.58,3.05,3.41,4.55
Nuevo León,Nuevo Leon,5.38,4.73,5.98,4.49,4.63,4.74,6.01,4.59,4.98,4.54,4.86,3.86,4.59,4.32,5.06,4.6,7.06,7.2,8.49
Oaxaca,Oaxaca,1.85,1.51,2.05,1.41,1.74,1.66,1.93,1.99,1.96,1.61,1.64,1.97,1.9,2.02,2.6,2.21,2.49,2.29,1.74
Puebla,Puebla,3.28,2.85,3.34,3.11,3.75,2.71,3.28,3.07,3.49,2.78,3.55,3.67,3.62,3.02,3.76,3.24,4.67,4.37,5.09
Querétaro,Queretaro de Arteaga,4.11,3.88,4.31,3.51,4.88,3.33,4.21,3.7,3.87,3.29,3.94,3.42,4.15,3.6,3.98,3.99,6.05,8.11,8.42
Quintana Roo,Quintana Roo,2.7,2.5,2.67,2.64,2.46,2.73,2.8,2.57,2.6,2.54,2.62,2.72,3.29,2.66,3.74,3.84,3.59,5.28,6.45
San Luís Potosí,San Luis Potosi,3.18,2.55,2.78,2.2,2.45,2.71,2.87,2.53,3.32,2.45,2.87,2.54,2.54,2.7,3.75,3.31,3.98,3.63,5.12
Sinaloa,Sinaloa,3.03,3.29,3.67,2.9,3.07,2.51,4.19,2.72,2.6,2.98,2.89,2.54,2.91,2.68,5.06,3.51,3.27,4,5.97
Sonora,Sonora,3.72,3.35,4.11,3.01,2.84,2.95,3.94,3.5,2.53,2.88,3.23,2.64,3.91,3.98,4.28,4.44,5.44,5.6,6.87
Tabasco,Tabasco,3.61,2.89,3.68,2.97,3.57,2.74,3.43,4.01,4.91,3.88,4.56,4.23,4.33,3.91,4.34,5.65,4.9,5.51,6.56
Tamaulipas,Tamaulipas,5.06,4.11,4.79,2.9,3.87,3.96,5.53,4.86,4.69,4.14,5.62,3.57,4.24,4.46,5.11,4.87,5.79,6.41,6.88
Tlaxcala,Tlaxcala,3.68,4.54,4.85,4.14,5.84,3.61,5.43,4.09,4.84,4.85,6.16,4.49,5.41,5.5,6.18,5.16,6.1,6.39,7.82
Veracruz de Ignacio de la Llave,Veracruz-Llave,3.29,2.32,1.76,2.25,2.44,1.91,2.26,2.62,2.18,2.1,2.34,2.74,3.04,2.02,2.73,2.42,2.69,2.74,3.39
Yucatán,Yucatan,2.58,2.36,2.71,2.46,2.24,2.24,2.64,1.9,1.94,2.28,2.95,1.95,2.4,2.27,2.5,2.17,2.82,2.76,3.53
Zacatecas,Zacatecas,3.09,2.46,3.35,2.26,3.57,2.94,4.33,3.89,4.62,4.17,3.58,3.57,4.05,3.97,3.95,3.05,4.62,4.07,6.28
